id_pedido,cpf,valor_pedido,valor_frete,valor_desconto,cupom,endereco_entrega_logradouro,endereco_entrega_numero,endereco_entrega_bairro,endereco_entrega_cidade,endereco_entrega_estado,endereco_entrega_pais,status_pedido,data_pedido
0452dfd2-65dc-4615-8661-bf8b1f569d6c,304.190.244-22,199.39,9.15,15.37,CUPOME741A40A,Ladeira de Guerra,55,Caiçaras,Ribeiro,MS,Brasil,enviado,2024-01-26
ce09d0f5-06fb-411d-92b3-bb6dc184bf27,407.872.155-96,1327.66,32.78,0.00,,Residencial da Costa,749,Vila Madre Gertrudes 2ª Seção,Vieira das Flores,MG,Brasil,cancelado,2024-03-27
dd9c0231-b982-477f-9f33-bf8a1199969b,384.028.639-40,983.47,28.77,60.50,CUPOM70AE4783,Fazenda Gael Silveira,69,Caiçaras,Machado de Goiás,PB,Brasil,cancelado,2025-03-13
1fbdc2c7-3f02-484b-9358-367d8ab39e6e,700.115.593-45,1015.11,38.91,0.00,,Travessa de Rodrigues,57,São Gonçalo,Câmara,AL,Brasil,pago,2023-08-03
b1198444-66cb-424f-a7ef-65d14645ffd9,114.497.881-58,1440.61,79.12,0.00,,Viaduto de Moraes,353,Prado,da Rocha,PB,Brasil,enviado,2024-01-02
b6495b9b-623f-477b-bef7-f6bff0dc9942,612.033.716-23,1077.35,71.29,0.00,,Favela de Rodrigues,98,Acaba Mundo,Gonçalves da Prata,CE,Brasil,cancelado,2024-08-25
7d81ae9d-1d40-4165-81a4-33c5a4001dd1,670.267.789-36,155.30,72.02,0.00,,Área João Miguel Cardoso,260,Vila Das Oliveiras,Souza do Campo,TO,Brasil,cancelado,2024-10-13
2423ac8a-3f62-4282-9115-c177adbdb457,346.656.895-76,595.58,18.03,0.00,,Jardim Carvalho,5,Conjunto Taquaril,Nascimento das Flores,RO,Brasil,cancelado,2024-05-25
b7517508-eeca-406c-9a70-520de62611d0,249.560.628-09,644.63,16.66,0.00,,Residencial de Jesus,55,Novo Tupi,Sampaio de Goiás,AP,Brasil,pago,2024-06-27
4d0c0f39-bd9b-4a59-aa49-6fc86336036d,299.721.991-53,1956.92,66.74,0.00,,Esplanada de Pacheco,1,Nova Esperança,Ramos da Mata,RR,Brasil,entregue,2024-08-11
b3c58b50-efc6-4f6e-a265-3e2bbaf819d6,641.130.095-97,91.51,30.68,0.00,,Distrito de da Cruz,2,Novo Santa Cecilia,das Neves,RJ,Brasil,cancelado,2024-06-18
4a268f7a-faec-44ad-9a08-2ff4691d745d,957.596.806-92,635.81,10.67,0.00,,Ladeira da Cruz,12,Renascença,Rocha da Serra,MT,Brasil,cancelado,2025-03-17
b993410d-debd-4333-b27c-07ee0d67b39d,867.219.997-31,1015.95,41.54,0.00,,Chácara de Rezende,46,Cidade Jardim Taquaril,Pires do Sul,SP,Brasil,pendente,2025-03-05
1761069a-83f8-4acb-885e-5410e1defc1d,394.748.844-78,451.17,9.96,51.73,CUPOM33CEECC7,Fazenda Evelyn Martins,6,Granja Werneck,Barbosa Grande,BA,Brasil,enviado,2024-05-30
1417c17c-561d-416a-807f-489c6c649222,969.472.325-14,1106.02,7.47,0.00,,Lago de Leão,477,Calafate,Câmara,SP,Brasil,cancelado,2024-11-27
19084ba0-2dd9-4f59-ad66-a65640356e93,439.756.067-97,1849.26,81.97,0.00,,Trecho Maria Alice Ferreira,59,Cônego Pinheiro 1ª Seção,Guerra,DF,Brasil,cancelado,2024-02-10
2589fc18-35a5-432b-9d5f-3f1574c62c97,367.408.858-40,1526.64,83.78,0.00,,Lago Novaes,94,Vale Do Jatoba,Guerra,PI,Brasil,entregue,2024-09-10
12f4046b-a094-4f22-9993-489e23a33349,492.387.739-65,1576.09,76.48,0.00,,Parque Ramos,33,Alta Tensão 2ª Seção,Souza,CE,Brasil,pendente,2023-11-20
4a500523-cb37-4c03-a3a3-4ae20d774fb6,670.963.541-30,806.82,69.41,0.00,,Aeroporto de da Luz,56,Vila Engenho Nogueira,Costela Paulista,PE,Brasil,cancelado,2024-07-13
dad56569-d7e2-4733-94dc-f423b3a165fe,095.430.563-69,876.48,78.06,0.00,,Loteamento Fernandes,887,Jaqueline,Novais da Serra,SE,Brasil,enviado,2024-06-13
c178c9db-ddee-4d94-a9df-6365b0994030,891.682.621-53,1922.59,99.30,0.00,,Largo de Freitas,423,Cidade Jardim,Moraes das Pedras,RS,Brasil,pago,2025-05-12
c488a4a0-8b51-4d00-915f-bda41019f2e2,994.183.168-04,1820.04,69.85,0.00,,Lagoa de Machado,4,São Salvador,Dias de Porto,SP,Brasil,enviado,2024-03-12
b9fdc485-317c-4a3d-9081-d17c18a95ca2,882.048.710-79,1997.67,33.10,0.00,,Morro de Sá,6,Morro Dos Macacos,Lima de Monteiro,PR,Brasil,cancelado,2024-12-14
106b5d6f-8c4e-4d78-94da-c8b4c24db147,664.465.608-61,125.28,30.53,0.00,,Passarela Ana Luiza Ferreira,377,Distrito Industrial Do Jatoba,Moreira do Amparo,RN,Brasil,enviado,2024-07-03
8cc4b905-bb56-4b86-9949-2ecdd92a8299,688.759.178-25,74.06,67.77,0.00,,Praça Costela,7,Vila Da Luz,Almeida,CE,Brasil,enviado,2023-06-15
9839e721-3b73-4263-9559-d2c6d9faa599,833.184.239-53,915.43,8.52,46.99,CUPOM04F5574F,Condomínio de Mendonça,66,Suzana,Borges do Campo,PB,Brasil,enviado,2023-10-18
f8de6095-976d-45e5-b227-f86ab976479c,061.973.497-29,1293.60,43.82,0.00,,Loteamento Sá,81,Coração Eucarístico,Cassiano,AC,Brasil,cancelado,2024-08-12
7c408688-f248-4b87-b4a0-5f947c2660d3,401.167.909-46,589.07,34.83,0.00,,Avenida Fernanda Pires,54,Pilar,da Rosa,MT,Brasil,pendente,2023-10-29
c1585e54-ad91-4f6e-a7c7-2cb0cb12b1e3,089.083.394-61,400.62,31.23,0.00,,Favela Almeida,32,Vila Cloris,Castro dos Dourados,RN,Brasil,entregue,2025-03-01
cd9a563d-274b-471d-bfd6-f98d669cc6be,410.801.132-05,493.47,67.32,89.16,CUPOM5C9BF785,Via Novaes,36,Venda Nova,Melo Paulista,PE,Brasil,pago,2024-06-06
29d0ad57-2975-45bb-aa65-56bb22ed3d8e,015.780.619-54,1326.47,46.83,167.15,CUPOM4EB3BBF8,Morro Dias,63,Vila Copasa,Cassiano,CE,Brasil,enviado,2025-04-20
1ec59704-6071-425f-bdc2-03a153ad8f74,351.427.238-46,1129.15,95.41,0.00,,Quadra Davi Miguel Rodrigues,1,Madre Gertrudes,das Neves do Galho,SP,Brasil,enviado,2024-01-04
05d37f35-c42b-41be-afe7-17894a9d17cb,144.240.623-93,81.43,85.69,0.00,,Sítio Gabrielly Azevedo,922,Vila Paraíso,Pastor de Pastor,BA,Brasil,cancelado,2024-04-04
21249410-218c-4189-af97-5948711ba298,616.103.091-61,1221.13,12.36,0.00,,Residencial da Paz,6,Vila Minaslandia,Abreu,TO,Brasil,entregue,2024-03-07
d3076c39-a46c-4fd3-84b7-ac3d54e6cb65,943.261.173-21,1046.52,35.95,0.00,,Condomínio Davi Alves,50,Aparecida 7ª Seção,Costela dos Dourados,MT,Brasil,enviado,2023-08-20
47585b12-2cfd-4d7b-8d2a-b0632a7d7cc2,143.589.135-40,189.22,31.89,0.00,,Alameda Cavalcante,21,Ipiranga,Pimenta,PB,Brasil,pendente,2023-12-02
04461048-8ed3-4688-85d6-fc6ea3d7666e,347.184.531-24,1233.59,97.63,0.00,,Aeroporto Gomes,985,Delta,da Luz,RN,Brasil,enviado,2024-09-01
b8ff1c20-6759-4d08-a586-67335e2c2b64,399.020.894-44,1887.84,7.96,0.00,,Residencial de Gomes,7,Brasil Industrial,das Neves,TO,Brasil,enviado,2024-01-15
7b653bdc-730c-4b05-ac27-43a0f69eee64,808.509.790-16,617.20,15.09,85.60,CUPOMFD694C49,Passarela de Albuquerque,695,São Gabriel,Vieira,SP,Brasil,pago,2023-06-10
62c84fc9-b881-49a1-b264-904a6227b1ef,346.350.347-54,1046.05,53.28,0.00,,Residencial de Macedo,7,Conjunto Santa Maria,Ramos,SC,Brasil,cancelado,2024-07-14
bf53fde0-124a-449c-bc6d-d5bca1962ad4,741.002.335-49,1882.88,60.36,0.00,,Fazenda de Nunes,1,Ipiranga,Andrade,PR,Brasil,pago,2024-06-09
5d8ee4cf-e76d-4f78-b01c-81c727e23f41,655.933.882-79,1537.09,95.74,0.00,,Parque Alícia Rodrigues,4,Estoril,Pastor,AP,Brasil,pago,2024-03-31
daa322c8-57cf-4838-b59f-34956c29ae14,920.391.662-18,1031.82,57.08,0.00,,Conjunto Nogueira,95,Mangabeiras,Siqueira,DF,Brasil,entregue,2024-09-29
1565470b-f1e0-4abf-adcc-65e7a4c945e9,345.551.790-33,1479.44,55.14,0.00,,Praça Vicente Novais,91,Sion,Mendes,RS,Brasil,pendente,2023-11-09
39be26f9-f8a8-453f-b27a-f7f85df04338,370.081.692-69,971.04,46.90,0.00,,Conjunto Bruno Fernandes,57,Barroca,Sales,SP,Brasil,enviado,2023-07-13
2ef35c71-9330-4fe8-b9d2-8da91c067824,962.616.255-65,1680.22,28.18,0.00,,Praça João Gabriel da Conceição,4,Alto Dos Pinheiros,Santos,AL,Brasil,pago,2025-02-09
84f52bdd-567b-45b6-878d-5f51ab8a1847,792.456.885-17,500.24,97.38,0.00,,Núcleo da Mota,89,Ipiranga,Gomes das Flores,DF,Brasil,pago,2024-06-14
11d61f57-06f9-4982-8150-3f440ac4b9cf,659.142.377-30,1478.96,39.38,0.00,,Chácara da Conceição,13,Cdi Jatoba,Cirino do Oeste,AC,Brasil,enviado,2024-03-10
5684992e-f1cf-4e9d-8945-56cfcb28b374,662.828.985-23,1036.00,67.07,0.00,,Passarela de Guerra,2,Venda Nova,Pinto da Prata,AM,Brasil,cancelado,2024-03-12
f99a98f3-3278-425f-b0c6-2eecd0105e61,525.542.455-62,925.49,59.09,0.00,,Estação Oliveira,401,Vila Pinho,Souza de da Cruz,PI,Brasil,pago,2024-10-11
b4f7d0fb-ef9c-41f0-b728-f12b5f3f7a41,835.262.660-53,527.64,69.04,0.00,,Loteamento de Brito,33,Savassi,Porto,RR,Brasil,pago,2024-05-10
765f11c6-1d98-44c9-ac91-bb2faea17fc5,826.369.121-76,557.54,34.82,0.00,,Fazenda Gomes,87,São Bernardo,Vasconcelos do Norte,MA,Brasil,pendente,2024-12-30
2a8ffac6-4bc9-4eb7-9e3e-35d10b1c201c,321.129.478-86,870.99,59.72,0.00,,Conjunto Igor Lopes,209,Vila Santa Monica 1ª Seção,Oliveira,AM,Brasil,pago,2024-08-08
e790e312-a960-4673-91ae-3d24c5e01d91,035.410.932-77,1758.99,30.02,119.82,CUPOM53324C58,Quadra Fernanda Moreira,80,Araguaia,Abreu,MG,Brasil,cancelado,2025-04-15
fe37ab5c-6586-429d-8028-0c4dbab7b526,118.300.778-80,1498.57,45.98,82.59,CUPOM5752D775,Parque Casa Grande,39,Vila Coqueiral,Pereira da Serra,TO,Brasil,pago,2024-11-11
a780082c-b249-46d3-9103-b1d52cb5215c,344.959.874-21,308.14,92.27,0.00,,Fazenda José da Rosa,6,Distrito Industrial Do Jatoba,da Conceição de Goiás,MG,Brasil,entregue,2023-09-16
840220bb-cbbc-4ac0-ae4a-d60db404ef7a,822.296.907-15,298.53,27.94,0.00,,Condomínio Natália Cassiano,66,Maravilha,Mendonça do Norte,PE,Brasil,enviado,2024-12-26
d3ae5044-0d87-47e2-b642-202fde19bf1b,628.889.516-44,706.78,36.98,0.00,,Setor Gabrielly Costa,86,Lagoinha,Machado das Flores,SC,Brasil,cancelado,2025-04-09
0b9f5221-3fb2-4043-9cf9-07769573ce4e,846.541.816-92,1988.56,38.72,319.78,CUPOM9DE9E725,Feira Albuquerque,1,Vila Nova Gameleira 2ª Seção,Nogueira Verde,SC,Brasil,entregue,2024-03-07
12f396d4-a0ca-456b-b4a5-c19bc656ffa9,477.042.748-09,1280.12,46.39,0.00,,Praia de Pacheco,1,Granja Werneck,Novaes da Praia,SP,Brasil,entregue,2024-06-30
16340e0d-1332-475d-aef4-90a30a3e9222,285.259.371-48,1480.21,61.01,0.00,,Rodovia Antônio Castro,89,Vila Madre Gertrudes 4ª Seção,Almeida do Oeste,MA,Brasil,cancelado,2025-02-17
e3a12b94-ea1b-4121-b482-6aefe0fb93e2,104.977.536-61,346.90,69.02,48.20,CUPOME1CDD957,Trecho Casa Grande,66,Monsenhor Messias,Fonseca da Mata,CE,Brasil,entregue,2023-07-06
81b442d2-44e8-47db-80b3-7bf8b411a017,864.010.605-81,674.85,31.53,106.88,CUPOM18321811,Pátio Borges,61,Vila Da Ária,Garcia,GO,Brasil,pendente,2025-05-19
5cd877d7-8240-43d7-a467-e26afb78b601,396.643.029-67,629.83,58.59,0.00,,Favela Andrade,48,Anchieta,Vargas,AM,Brasil,cancelado,2023-10-19
408afb8e-c6c7-4246-a37e-20bbdc7cce95,142.200.657-98,1041.04,32.10,0.00,,Jardim Aragão,21,Mirtes,Casa Grande,AL,Brasil,entregue,2024-02-07
7a0a8034-8ebf-4991-8fb0-7d1b34e85010,225.686.857-91,1526.74,8.98,0.00,,Residencial de Viana,42,Marilandia,Sampaio do Sul,SE,Brasil,pago,2024-07-01
8f6769fa-f45c-4d9c-a0ea-dba4040f69ea,427.479.580-75,1062.31,63.47,0.00,,Favela de Silveira,95,Anchieta,Carvalho de Campos,TO,Brasil,pendente,2024-08-23
8dc3dbdd-d395-4f9f-94d1-eece7225083b,523.968.250-61,605.34,46.70,55.13,CUPOME0D04194,Chácara Cavalcanti,1,Santa Branca,da Paz,MS,Brasil,pago,2023-10-11
8126184e-3b6f-47d8-b35c-39e22112af23,124.212.376-12,1881.45,62.59,0.00,,Quadra Mendonça,73,Dom Bosco,Souza,AP,Brasil,pendente,2023-11-06
50d2dc32-8a89-44a3-9cf7-827ec54a61d4,160.181.394-37,1349.55,84.69,109.35,CUPOM42EB513B,Lago Yago Castro,16,Aarão Reis,Silveira de da Costa,RR,Brasil,pago,2023-08-01
e74a3967-7142-42e8-9cec-8bc6cd0ef521,441.376.107-42,1216.86,56.10,223.41,CUPOMA4B16DF7,Condomínio Maria Isis Jesus,79,Vila Tirol,Casa Grande das Pedras,PE,Brasil,pago,2023-06-08
d174474d-0c93-4cf7-853a-6d0c8bb35c29,485.877.043-59,1002.31,40.11,0.00,,Viela Maria Clara Sampaio,76,Vila Nova Cachoeirinha 2ª Seção,Freitas,SC,Brasil,enviado,2025-02-03
0ba9aa59-59ba-4b7f-928c-70e4a8fe131f,517.836.362-01,881.68,16.99,0.00,,Área Aragão,44,Prado,Novaes de Ferreira,SC,Brasil,entregue,2024-01-13
ac49a9ce-417d-45e5-8a76-61378b55c672,176.064.391-50,1840.09,92.32,0.00,,Esplanada Campos,93,Estoril,Brito da Serra,PI,Brasil,pendente,2023-12-21
541b5f03-3e83-43e3-8d90-beb0be791a4f,054.800.107-85,1783.32,13.25,0.00,,Núcleo Fernandes,3,Vila Santo Antônio,Silveira,RJ,Brasil,pago,2024-12-31
2bfcee17-cdbb-479d-811f-efbf4a2b37a3,287.965.250-36,1476.69,12.51,152.18,CUPOMD301F88C,Morro Daniela Garcia,77,Vila Jardim São José,Sales,MA,Brasil,pago,2025-01-30
dd7f292c-7292-43d9-92a9-78f61976f3bc,465.100.160-32,687.88,31.23,0.00,,Avenida de Costa,824,Vila Boa Vista,da Luz das Flores,CE,Brasil,cancelado,2023-08-10
0536d628-f2ac-4d78-a0e7-9b2f24bad6ef,765.877.147-66,1428.28,92.85,0.00,,Distrito Mendonça,65,Frei Leopoldo,Nogueira,MT,Brasil,entregue,2024-08-20
cd669ea3-eb1f-4a1d-8285-a35784c146b4,612.449.755-50,1868.12,35.17,0.00,,Pátio Juan Vargas,73,São Jorge 2ª Seção,Barbosa da Mata,GO,Brasil,cancelado,2025-01-10
dbdbbc22-dc1e-4981-8b32-53d04862c644,952.834.860-18,1900.91,28.36,0.00,,Rua Mendes,44,Conjunto Providencia,Rezende,TO,Brasil,cancelado,2024-01-25
26fc3e93-8366-4f24-a489-fb6185f8c46b,580.766.000-78,1750.62,23.59,0.00,,Colônia de Machado,15,Paraíso,Cavalcanti do Oeste,AC,Brasil,entregue,2023-07-02
1156833c-03c8-4395-836b-71c7c4e6a25b,606.304.062-73,994.79,17.52,123.86,CUPOM3A32B996,Morro de Campos,15,Vila Havaí,Martins,SC,Brasil,pendente,2025-05-14
3253cbb5-7d98-4ca5-a0c9-9a14489d37e7,252.712.695-87,1721.46,5.30,0.00,,Passarela Fernanda Freitas,83,Andiroba,Freitas,SC,Brasil,pendente,2023-06-09
521d6514-8979-497f-9d9f-cbc4e50710f0,591.625.215-65,1137.59,21.92,0.00,,Trevo de Cunha,4,Esplanada,da Rosa,AM,Brasil,entregue,2025-05-08
cba7d943-45cd-4a03-98d8-eac2978858eb,058.364.603-34,1246.09,27.30,0.00,,Sítio de Sampaio,7,Grajaú,Vargas de Mendonça,PI,Brasil,enviado,2024-09-08
baed32ad-e54f-4c9d-a0df-24f799b34a08,143.375.966-84,1084.40,88.40,0.00,,Viela Ana Carolina Nascimento,423,Flavio De Oliveira,Brito,RN,Brasil,pago,2023-07-26
b1d03180-8b1e-4532-9026-8fc4489f189a,989.225.553-26,1352.55,64.85,0.00,,Praia de Nunes,80,Novo Aarão Reis,da Mata,TO,Brasil,cancelado,2025-02-06
956e6c2d-cf77-4c4c-9346-a20f605176d1,522.260.781-18,1109.66,25.80,0.00,,Loteamento de Cavalcante,633,Grajaú,Garcia,RO,Brasil,enviado,2024-03-27
4a5e7e90-ef71-4f0e-9349-86e68af8e8cf,688.173.133-69,1940.26,67.93,0.00,,Chácara Rodrigues,124,Vila Coqueiral,Teixeira da Mata,SP,Brasil,pendente,2023-12-01
03c4f2d6-cf48-4158-a178-f258ada14949,710.681.992-10,956.24,15.79,0.00,,Sítio de Araújo,70,Apolonia,Albuquerque,PR,Brasil,entregue,2025-05-23
f3f33c0c-af43-46e5-b6fb-b732a256f583,216.446.795-35,1558.68,81.45,0.00,,Fazenda Aparecida,22,Vila União,Cavalcanti,BA,Brasil,entregue,2024-04-17
de7d3cc1-86b1-4786-91a1-6ea0d8dfada9,663.680.388-23,853.41,32.64,0.00,,Ladeira Abreu,58,Mantiqueira,Silva,AC,Brasil,cancelado,2025-02-12
3ad5d15e-ce6a-458f-a6e4-2421e05ee689,271.099.499-31,1785.13,10.78,0.00,,Fazenda Nina Nascimento,1,Vila Aeroporto,Dias de Fogaça,AC,Brasil,enviado,2024-06-11
42a54614-322c-4902-8cc1-ee273a096142,429.318.429-35,1366.23,81.86,0.00,,Avenida de Ramos,14,Trevo,Fonseca da Praia,PI,Brasil,entregue,2025-04-12
db58fd8e-4d6e-4c28-876a-1ca575b6f1f0,870.605.690-58,558.36,25.80,68.58,CUPOMB894333B,Sítio Martins,440,Vila São Gabriel,Novaes das Flores,SC,Brasil,pendente,2024-01-11
e4ac1acd-755d-45a6-967e-b47a2f2233ca,576.711.478-47,922.89,88.18,0.00,,Ladeira Maria Laura Cirino,745,Nova Esperança,Fernandes da Prata,SC,Brasil,cancelado,2024-01-20
271ded21-8cd6-4e26-ad37-c083e57954d7,885.264.245-91,1570.13,63.02,306.55,CUPOM758570FC,Viela Leão,51,Santa Branca,Fernandes,RR,Brasil,pago,2023-09-28
d96585da-455a-4e9a-8196-e0da15fde7d1,657.381.568-84,1102.55,7.01,0.00,,Rodovia Barros,78,Conjunto São Francisco De Assis,Nunes do Norte,MA,Brasil,entregue,2024-02-05
5ef37490-9768-4ddc-92d1-fbeb915cb7ff,846.005.517-41,1571.85,38.51,0.00,,Sítio de Alves,56,Colégio Batista,Nunes,PI,Brasil,cancelado,2023-09-06
86568994-f7c6-419c-bc73-222d297806a6,674.144.875-96,1327.12,39.40,0.00,,Distrito de Câmara,94,Leonina,Sá,BA,Brasil,pago,2023-11-17
d041ca42-50d8-4a70-bbac-9827b7106b5c,252.655.574-95,1684.39,73.19,0.00,,Conjunto de Moura,26,Cidade Jardim,da Paz Verde,TO,Brasil,enviado,2024-05-14
5e228f22-e6e8-4955-8d5d-fe53a37bca62,433.320.096-00,1825.77,25.48,0.00,,Vale Pinto,12,Eymard,Lima,SC,Brasil,pago,2024-10-28
1343019e-c476-40b4-a346-6a5865c09cd5,585.019.659-40,120.35,14.74,22.99,CUPOM4760D8F7,Colônia das Neves,95,Vila Jardim Leblon,Câmara de Abreu,PA,Brasil,entregue,2024-03-06
7180c8bd-87b3-4ad7-95e5-31c82531eac4,260.242.626-28,132.46,7.30,0.00,,Área Marques,2,João Pinheiro,Martins,RJ,Brasil,pago,2024-10-30
67132356-1a7b-4ae9-924a-6d09f4cec9a1,718.567.745-37,581.29,67.25,97.43,CUPOM3D5E5FC1,Núcleo de da Conceição,521,Outro,Lopes,SP,Brasil,pago,2024-06-26
d021fadc-43ea-4144-bb0d-67ecb98c836e,409.602.611-04,1730.87,71.83,217.53,CUPOMD1B286D1,Chácara de Lopes,36,Vila Havaí,Garcia,RS,Brasil,entregue,2025-02-12
80e5aa11-1f18-4bd7-9652-e72ce7fd0054,838.599.304-78,78.75,62.46,0.00,,Recanto de da Mata,24,Cidade Jardim,Ramos,AP,Brasil,pago,2023-07-26
e470d13f-7e89-4e71-ac7b-08b1e32d97b4,123.452.195-65,1484.95,23.46,0.00,,Passarela Maria Liz Novais,5,Solar Do Barreiro,Mendonça do Amparo,DF,Brasil,cancelado,2025-05-01
dd077ba2-e920-455f-a410-df9539c82722,521.130.964-89,1580.30,75.63,0.00,,Rua Viana,2,Esperança,Costela de Minas,RR,Brasil,enviado,2023-10-28
5b7d9a8d-4d53-43a5-8a2d-6becf152aa19,618.639.653-71,944.87,59.74,184.62,CUPOM10DC698C,Viela de Moreira,47,Vila Jardim São José,Azevedo,RJ,Brasil,entregue,2024-06-07
b4ec1f75-23cd-4c08-9d31-d3239a306176,813.085.795-09,887.59,43.60,0.00,,Conjunto Cauê Mendes,23,São Gabriel,Jesus,ES,Brasil,enviado,2023-06-22
aa4b731e-13ea-4963-9a1d-d489eff20a53,569.503.181-19,604.62,53.13,0.00,,Núcleo Bruno Duarte,37,Zilah Sposito,Almeida,RN,Brasil,entregue,2024-06-29
9229d829-5666-4287-b812-e11bf09edc4e,025.202.037-45,1986.65,95.39,0.00,,Morro Gabriel Pires,4,Andiroba,Costa de Lopes,RJ,Brasil,cancelado,2024-12-27
1e508483-30ba-40dc-ac98-84b7d1d22603,633.130.527-71,931.93,7.36,0.00,,Vereda Lucas Gabriel da Cruz,16,Bandeirantes,Pinto Alegre,PB,Brasil,pago,2024-04-23
da23210b-4e8f-45b7-8c11-9f27dfe21b4b,981.946.918-35,771.15,66.07,0.00,,Condomínio Maria Luiza Vargas,20,Santa Margarida,Borges,ES,Brasil,enviado,2023-06-22
ed354dee-c2bd-4cfd-a14a-02b9d9713985,200.261.541-28,1628.88,14.06,0.00,,Distrito de Sales,439,Granja Werneck,Câmara,RO,Brasil,pago,2025-03-25
37f51929-8760-421a-af5f-11351fe8b497,030.802.695-28,1736.41,28.75,0.00,,Via de Souza,83,Cdi Jatoba,Cardoso de Pastor,MG,Brasil,pago,2024-03-09
eae522bd-f961-4223-a8cf-cc70dae3f4e3,088.298.090-89,1252.15,73.69,0.00,,Feira Novais,3,Vila São Dimas,Monteiro,AC,Brasil,cancelado,2024-03-17
9ec5a103-d655-4227-9629-9efeddf2f7cb,075.399.427-49,164.92,44.13,0.00,,Pátio Rael Castro,79,Madre Gertrudes,Cavalcante,MT,Brasil,enviado,2023-06-07
dea3bdd0-bacb-4b1d-8327-0277216a5727,577.296.326-38,121.19,61.88,0.00,,Estação Vargas,7,Jardim Do Vale,Sales,CE,Brasil,pendente,2025-05-01
65affd54-ebac-400a-a1e7-9e17e97438e9,417.190.949-14,1396.27,80.50,0.00,,Esplanada Ribeiro,92,Vila Madre Gertrudes 3ª Seção,Silva da Prata,PE,Brasil,cancelado,2024-05-23
e4389c22-5bf6-42a6-9b3e-699ac3f0df5f,589.912.441-49,660.38,35.57,0.00,,Colônia de da Cunha,92,Coqueiros,Costela,ES,Brasil,entregue,2024-03-03
e0d61f46-aafb-46f5-a84e-4b42ad8256a4,451.431.069-80,1131.87,74.64,0.00,,Lago Sophie Pimenta,54,Mangueiras,Machado do Norte,BA,Brasil,pendente,2023-10-22
ed83b1a7-61b9-4c39-b0ea-9d91e5625e8e,641.727.684-09,1413.55,76.90,0.00,,Praça Montenegro,12,Vila Jardim Montanhes,Teixeira,BA,Brasil,pago,2025-01-23
3eefc9a7-8e79-4252-9411-23d8bfb202d7,008.591.416-04,1508.89,97.33,174.49,CUPOM2D356DD1,Conjunto Pedro Rezende,108,Lagoa,Melo,PE,Brasil,pendente,2023-10-10
